Template,Building Type,Space Type,,Exterior Wall Standards Construction Type,Exterior Wall Building Category,Exterior Floor Standards Construction Type,Exterior Floor Building Category,Exterior Roof Standards Construction Type,Exterior Roof Building Category,Interior Walls,Interior Floors,Interior Ceilings,Ground Contact Wall Standards Construction Type,Ground Contact Wall Building Category,Ground Contact Floor Standards Construction Type,Ground Contact Floor Building Category,Ground Contact Ceiling Standards Construction Type,Ground Contact Ceiling Building Category,Exterior Fixed Window Standards Construction Type,Exterior Fixed Window Building Category,Exterior Operable Window Standards Construction Type,Exterior Operable Window Building Category,Exterior Door Standards Construction Type,Exterior Door Building Category,Exterior Glass Doors,Exterior Overhead Door Standards Construction Type,Exterior Overhead Door Building Category,Exterior Skylight Standards Construction Type,Exterior Skylight Building Category,Tubular Daylight Domes,Tubular Daylight Diffusers,Interior Fixed Windows,Interior Operable Windows,Interior Doors,Space Shading,Building Shading,Site Shading,Interior Partitions
189.1-2009,FullServiceRestaurant,,No,SteelFramed,Nonresidential,Mass,Nonresidential,Attic and Other,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
189.1-2009,Hospital,,No,Mass,Nonresidential,Mass,Nonresidential,IEAD,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
189.1-2009,Hospital,PatRoom,No,Mass,Residential,Mass,Residential,IEAD,Residential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
189.1-2009,LargeHotel,,No,Mass,Nonresidential,Mass,Nonresidential,IEAD,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
189.1-2009,LargeHotel,GuestRoom,No,Mass,Residential,Mass,Residential,IEAD,Residential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
90.1-2004,HighriseApartment,,No,SteelFramed,Residential,Mass,Residential,IEAD,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,Glass with Curb,Nonresidential,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
DOE Ref Pre-1980,FullServiceRestaurant,,No,SteelFramed,Nonresidential,Mass,Nonresidential,IEAD,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,,,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
DOE Ref 1980-2004,FullServiceRestaurant,,No,SteelFramed,Nonresidential,Mass,Nonresidential,Attic and Other,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,,,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
DOE Ref Pre-1980,Hospital,,No,Mass,Nonresidential,Mass,Nonresidential,IEAD,Nonresidential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,,,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
DOE Ref Pre-1980,Hospital,PatRoom,No,Mass,Nonresidential,Mass,Residential,IEAD,Residential,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,Mass,Nonresidential,Unheated,Nonresidential,,Nonresidential,Metal framing (all other),Nonresidential,Metal framing (all other),Nonresidential,Swinging,Nonresidential,,NonSwinging,Nonresidential,,,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Window,Typical Interior Door,,,,Typical Interior Partition
