Template,Building Type,Space Type,RGB,Lighting Standard,Lighting Primary Space Type,Lighting Secondary Space Type,LookupColumn,Lighting per Area (W/ft^2),Lighting per Person (W/person),Lighting per Length (W/ft),Additional Lighting per Area (W/ft^2),Lighting Fraction to Return Air,Lighting Fraction Radiant,Lighting Fraction Visible,Lighting Schedule,Ventilation Standard,Ventilation Primary Space Type,Ventilation Secondary Space Type,Lookup,Ventilation per Area (ft^3/min*ft^2),Ventilation per Person (ft^3/min*person),Ventilation Air Changes (ach),Minimum Total Air Changes (ach),Occupancy per Area (people/1000 ft^2),Occupancy Schedule,Occupancy Activity Schedule,Infiltration per Exterior Area (ft^3/min*ft^2 ext),Infiltration per Exterior Wall Area (ft^3/min*ft^2 ext),Infiltration Air Changes (ach),Infiltration Schedule,Gas Equipment per Area (Btu/hr*ft^2),Gas Equipment Fraction Latent,Gas Equipment Fraction Radiant,Gas Equipment Fraction Lost,Gas Equipment Schedule,Electric Equipment per Area (W/ft^2),Electric Equipment Fraction Latent,Electric Equipment Fraction Radiant,Electric Equipment Fraction Lost,Electric Equipment Schedule,Heating Setpoint Schedule,Cooling Setpoint Schedule,Service Water Heating Peak Flow Rate (gal/h),Service Water Heating Area (ft^2),Service Water Heating Peak Flow per Area (gal/h*ft^2),Service Water Heating Target Temperature (C),Service Water Heating Fraction Sensible,Service Water Heating Fraction Latent,Service Water Heating Schedule,Exhaust per Area (cfm/ft2),Exhaust per Unit (cfm),Exhaust Fan Power per Area (W/ft^2),Exhaust Fan Efficiency,Exhaust Fan Power (W),Exhaust Fan Pressure Rise (Pa),Exhaust Fan Maximum Flow Rate (cfm),Exhaust Schedule,Balanced Exhaust Fraction Schedule,Is Residential,NECB HVAC System Selection Type,NECB Schedule Type
189.1-2009,FullServiceRestaurant,Kitchen,78_222_133,ASHRAE 189.1-2009,Food Preparation,General,ASHRAE 189.1-2009Food PreparationGeneral,1.08,,,,0,0.7,0.2,FullServiceRestaurant Bldg Light,ASHRAE 62.1-1999,Food and Beverage Service,Kitchens (cooking),ASHRAE 62.1-1999Food and Beverage ServiceKitchens (cooking),0.47,0,,,5,FullServiceRestaurant Bldg Occ,FullServiceRestaurant Activity,0.0446,,,FullServiceRestaurant Infil Half On,276.72,0.1,0.2,0.7,FullServiceRestaurant Gas Equip,25.50001098,0.25,0.3,0.2,FullServiceRestaurant Bldg Equip,FullServiceRestaurant HtgSetp Kitchen,FullServiceRestaurant ClgSetp Kitchen,133,1501,0.08860759494,49,0.2,0.05,FullServiceRestaurant SWH,0.7,4000,0.1215379059,0.338,694.5023196,0.5,,FullServiceRestaurant Kitchen Exhaust,,,,
189.1-2009,FullServiceRestaurant,Dining,31_169_34,ASHRAE 189.1-2009,Dining Area,For Family Dining,ASHRAE 189.1-2009Dining AreaFor Family Dining,1.89,,,,0,0.7,0.2,FullServiceRestaurant Bldg Light,ASHRAE 62.1-1999,Food and Beverage Service,Dining Rooms,ASHRAE 62.1-1999Food and Beverage ServiceDining Rooms,0,20,,,67,FullServiceRestaurant Bldg Occ,FullServiceRestaurant Activity,0.0446,,,FullServiceRestaurant Infil Half On,,,,,,4.080001757,0.25,0.3,0,FullServiceRestaurant Bldg Equip,FullServiceRestaurant HtgSetp,FullServiceRestaurant ClgSetp,,,,,,,,,,,,,,,,,,,
189.1-2009,Hospital,Corridor,169_31_31,ASHRAE 189.1-2009,Corridor/Transition,For Hospital,ASHRAE 189.1-2009Corridor/TransitionFor Hospital,0.9,,,,0,0.7,0.2,Hospital Bldg Light,ASHRAE 62.1-1999,Public Spaces,Corridors and utilities,ASHRAE 62.1-1999Public SpacesCorridors and utilities,0.05,0,,,1,Hospital Critical Occ,Hospital Activity,0.0446,,,Hospital Infil Quarter On,,,,,,0,0,0.5,0,Hospital Bldg Equip,Hospital Bldg HtgSetp,Hospital Bldg ClgSetp,,,,,,,,,,,,,,,,,,,
189.1-2009,Hospital,Dining,31_169_34,ASHRAE 189.1-2009,Dining Area,General,ASHRAE 189.1-2009Dining AreaGeneral,0.81,,,,0,0.7,0.2,Hospital Bldg Light,ASHRAE 62.1-1999,Food and Beverage Service,Dining Rooms,ASHRAE 62.1-1999Food and Beverage ServiceDining Rooms,0,20,,,10,Hospital Critical Occ,Hospital Activity,0.0446,,,Hospital Infil Quarter On,,,,,,0.73,0,0.5,0,Hospital Bldg Equip,Hospital Bldg HtgSetp,Hospital Bldg ClgSetp,,,,,,,,,,,,,,,,,,,
189.1-2009,Hospital,ER_Exam,169_31_159,ASHRAE 189.1-2009,Hospital,Emergency,ASHRAE 189.1-2009HospitalEmergency,2.43,,,,0,0.7,0.2,Hospital Bldg Light,AIA 2001,Surgery and Critical Care,ER Waiting Room,AIA 2001Surgery and Critical CareER Waiting Room,,,2,,20,Hospital Critical Occ,Hospital Activity,0.0446,,,Hospital Infil Quarter On,,,,,,1.09,0,0.5,0,Hospital Bldg Equip,Hospital Critical HtgSetp,Hospital Critical HtgSetp,1,300,0.003333333333,49,0.2,0.05,Hospital SWH Extd,,,,,,,,,,,,
189.1-2009,Hospital,ER_NurseStn,31_162_169,ASHRAE 189.1-2009,Hospital,Nurse Station,ASHRAE 189.1-2009HospitalNurse Station,0.9,,,,0,0.7,0.2,Hospital Bldg Light,AIA 2001,Surgery and Critical Care,ER Waiting Room,AIA 2001Surgery and Critical CareER Waiting Room,,,2,,6.25,Hospital Critical Occ,Hospital Activity,0.0446,,,Hospital Infil Quarter On,,,,,,0.99,0,0.5,0,Hospital Bldg Equip,Hospital Critical HtgSetp,Hospital Critical HtgSetp,,,,,,,,,,,,,,,,,,,
189.1-2009,Hospital,ER_Trauma,169_31_159,ASHRAE 189.1-2009,Hospital,Emergency,ASHRAE 189.1-2009HospitalEmergency,2.43,,,,0,0.7,0.2,Hospital Bldg Light,AIA 2001,Surgery and Critical Care,ER Waiting Room,AIA 2001Surgery and Critical CareER Waiting Room,,,2,,20,Hospital Critical Occ,Hospital Activity,0.0446,,,Hospital Infil Quarter On,,,,,,2.92,0,0.5,0,Hospital Bldg Equip,Hospital Critical HtgSetp,Hospital Critical HtgSetp,1,300,0.003333333333,49,0.2,0.05,Hospital SWH Extd,,,,,,,,,,,,
189.1-2009,Hospital,ER_Triage,169_31_159,ASHRAE 189.1-2009,Hospital,Emergency,ASHRAE 189.1-2009HospitalEmergency,2.43,,,,0,0.7,0.2,Hospital Bldg Light,AIA 2001,Surgery and Critical Care,ER Waiting Room,AIA 2001Surgery and Critical CareER Waiting Room,,,2,,20,Hospital Critical Occ,Hospital Activity,0.0446,,,Hospital Infil Quarter On,,,,,,1.97,0,0.5,0,Hospital Bldg Equip,Hospital Critical HtgSetp,Hospital Critical HtgSetp,1,300,0.003333333333,49,0.2,0.05,Hospital SWH Extd,,,,,,,,,,,,
189.1-2009,Hospital,ICU_NurseStn,31_162_169,ASHRAE 189.1-2009,Hospital,Nurse Station,ASHRAE 189.1-2009HospitalNurse Station,0.9,,,,0,0.7,0.2,Hospital Bldg Light,AIA 2001,Surgery and Critical Care,Critical and Intensive Care,AIA 2001Surgery and Critical CareCritical and Intensive Care,,,2,,5,Hospital Critical Occ,Hospital Activity,0.0446,,,Hospital Infil Quarter On,,,,,,1.46,0,0.5,0,Hospital Bldg Equip,Hospital Critical HtgSetp,Hospital Critical HtgSetp,,,,,,,,,,,,,,,,,,,
189.1-2009,Hospital,ICU_Open,78_167_222,ASHRAE 189.1-2009,Hospital,Recovery,ASHRAE 189.1-2009HospitalRecovery,0.72,,,,0,0.7,0.2,Hospital Bldg Light,AIA 2001,Surgery and Critical Care,Critical and Intensive Care,AIA 2001Surgery and Critical CareCritical and Intensive Care,,,2,,20,Hospital Critical Occ,Hospital Activity,0.0446,,,Hospital Infil Quarter On,,,,,,2.19,0,0.5,0,Hospital Bldg Equip,Hospital Critical HtgSetp,Hospital Critical HtgSetp,,,,,,,,,,,,,,,,,,,
